source,function,linalg_bodies,selected_matches,candidates,status,symbols
image_processing.c,fixture_morphology_dilate3x3,1,0,0,pass,
image_processing.c,fixture_image_histogram_u8,1,0,1,pass,
image_processing.c,fixture_corner_subpix,0,0,0,no_tensor_linalg,
image_processing.c,fixture_min_max_loc_f32,1,0,0,pass,
image_processing.c,fixture_template_matching_ssd,1,0,0,pass,
image_processing.c,fixture_mix_channels_rgba_to_bgra,4,0,0,pass,
image_processing.c,fixture_block_linear_to_pitch_linear_4x4,1,0,0,pass,
image_processing.c,fixture_convert_rgb_to_gray,1,0,0,pass,
image_processing.c,fixture_image_blend_u8,1,0,0,pass,
image_processing.c,fixture_image_resize_bilinear,1,0,0,pass,
image_processing.c,fixture_blur_filter_roi3x3,0,0,0,no_tensor_linalg,
image_processing.c,fixture_distance_transform_l1,0,0,0,no_tensor_linalg,
image_processing.c,fixture_bilateral_filter3x3,1,0,0,pass,
image_processing.c,fixture_brute_force_matcher_l2,1,0,0,pass,
image_processing.c,fixture_warp_perspective_nearest,0,0,0,no_tensor_linalg,
image_processing.c,fixture_image_stats_f32,1,0,0,pass,
image_processing.c,fixture_canny_sobel_threshold,1,0,0,pass,
image_processing.c,fixture_median_filter3x3,0,0,0,no_tensor_linalg,
image_processing.c,fixture_histogram_equalization,3,0,1,pass,
image_processing.c,fixture_background_subtractor,2,0,0,pass,
image_processing.c,fixture_gaussian_pyramid_down2,1,0,0,pass,
image_processing.c,fixture_remap_bilinear,1,0,0,pass,
image_processing.c,fixture_orb_descriptor,0,0,0,no_tensor_linalg,
image_processing.c,fixture_image_flip_horizontal,1,0,0,pass,
image_processing.c,fixture_ccl_label_propagation,1,0,0,pass,
image_processing.c,fixture_hog_cells,1,1,1,pass,memset_zero_1D_f32
image_processing.c,fixture_fast_corner,0,0,0,no_tensor_linalg,
image_processing.c,fixture_contour_boundary,1,0,0,pass,
image_processing.c,fixture_conv2d_f32,1,0,0,pass,
image_processing.c,fixture_gaussian_filter3x3,1,0,0,pass,
image_processing.c,fixture_box_filter3x3,1,0,0,pass,
yolo_dl.c,fixture_nhwc_to_nchw_letterbox_normalize,0,0,0,no_tensor_linalg,
yolo_dl.c,fixture_yolov5_decode,1,0,0,pass,
yolo_dl.c,fixture_batched_nms,1,0,1,pass,
yolo_dl.c,fixture_dl_convolution_nchw,1,0,0,pass,
yolo_dl.c,fixture_dl_depthwise_convolution,1,0,0,pass,
yolo_dl.c,fixture_dl_gemm,1,0,1,pass,
yolo_dl.c,fixture_dl_max_pool2x2,1,0,0,pass,
yolo_dl.c,fixture_dl_activation_relu,1,1,1,pass,cutensorUnary_relu_f32
yolo_dl.c,fixture_dl_gather_rows,1,0,0,pass,
yolo_dl.c,fixture_dl_quantize_dequantize,1,0,0,pass,
yolo_dl.c,fixture_dl_softmax,3,1,3,pass,cudnnSoftmaxForwardOut_tensor
yolo_dl.c,fixture_dl_topk,1,0,0,pass,
yolo_dl.c,fixture_dl_layer_norm,2,0,0,pass,
