operation,input_dtype,output_dtype,vendor_abi,build,silicon,exact_mismatches,tolerance_mismatches,tolerance,max_error,vendor_contract_correctness
box,u8,u8,pvaBoxFilterCreate/Submit,pass,pass,0,0,0,0,exact-pass
box,s8,s8,pvaBoxFilterCreate/Submit,pass,pass,0,0,0,0,exact-pass
box,u16,u16,pvaBoxFilterCreate/Submit,pass,pass,0,0,0,0,exact-pass
box,s16,s16,pvaBoxFilterCreate/Submit,pass,pass,0,0,0,0,exact-pass
gaussian,u8,u8,pvaGaussianFilterCreate/Submit,pass,pass,0,0,1,0,exact-pass
gaussian,s8,s8,pvaGaussianFilterCreate/Submit,pass,pass,0,0,1,0,exact-pass
gaussian,u16,u16,pvaGaussianFilterCreate/Submit,pass,pass,0,0,4,0,exact-pass
gaussian,s16,s16,pvaGaussianFilterCreate/Submit,pass,pass,0,0,4,0,exact-pass
morphology-dilate,u8,u8,pvaMorphologyCreate/Submit,pass,pass,0,0,0,0,exact-pass
morphology-dilate,s8,s8,pvaMorphologyCreate/Submit,pass,pass,0,0,0,0,exact-pass
morphology-dilate,u16,u16,pvaMorphologyCreate/Submit,pass,pass,0,0,0,0,exact-pass
morphology-dilate,s16,s16,pvaMorphologyCreate/Submit,pass,pass,0,0,0,0,exact-pass
bilateral,u8,u8,pvaBilateralFilterCreate/Submit,pass,pass,123,0,2,1,tolerance-only
histogram,u8,u32,pvaImageHistogramCreate/Submit,pass,pass,0,0,0,0,exact-pass
histogram,u8,s32,pvaImageHistogramCreate/Submit,pass,pass,0,0,0,0,exact-pass
histogram,u16,u32,pvaImageHistogramCreate/Submit,pass,pass,0,0,0,0,exact-pass
histogram,u16,s32,pvaImageHistogramCreate/Submit,pass,pass,0,0,0,0,exact-pass
histogram-equalization,u8,u8,pvaHistogramEqualizationCreate/Submit,pass,pass,0,0,0,0,exact-pass
